app_id,franchise_name,steamdb_score,pub_link,dev_link
623080,NA,93.47%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=VisualArts,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=VisualArts%2FKey
459350,NA,77.20%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Invisible+Collective,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Invisible+Collective
721510,NA,69.44%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Hyperbolic,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Hyperbolic
262810,NA,53.43%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=HeroLabs,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=HeroLabs
590530,NA,70.33%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Guruji+VR%2C+Inc,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Guruji+VR%2C+Inc
656070,NA,57.43%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Pixel+Constructor%2C+LLC,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Pixel+Constructor%2C+LLC.
525040,NA,83.09%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Capcom,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Capcom
492290,NA,72.14%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=GameTrust+Games,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Frozenbyte
557880,NA,54.45%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=morojenoe%27s+empire,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=morojenoe%27s+empire
525150,NA,72.66%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=NerdyYetis,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=NerdyYetis
754530,3/name 1C Entertainment,66.39%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=1C+Entertainment,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Team+Fusion+Simulations
590720,NA,77.02%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Mojang,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Oxeye+Game+Studio
328590,NA,69.30%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Wales+Interactive,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Wales+Interactive
689070,2/name ShiinaYashiro,81.90%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=ShiinaYashiro,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=ShiinaYashiro
689090,NA,81.99%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=chlsea,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=chlsea
459780,NA,69.20%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Ludovic+Texier,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Ludovic+Texier
689160,NA,66.33%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Lava+Flow+Games%2C+LLC,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Lava+Flow+Games%2C+LLC
295950,NA,61.91%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Titans,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Titans
590870,NA,50.00%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=GameWriterStudio,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=GameWriterStudio
525360,2/name Coconut Island Games,75.48%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Coconut+Island+Games,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Coconut+Island+Studio
656450,2/name Alien Hallway,64.01%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Sigma+Team+Inc.,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Sigma+Team+Inc.
525380,NA,64.09%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Kajak+Games,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Kajak+Games
656460,NA,57.54%,NA,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Nosebleed+Interactive
590970,NA,40.88%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Forever+Entertainment+S.+A.,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=MMEU
754810,NA,73.43%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=ebi-hime,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=ebi-hime
722060,NA,89.89%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Illwinter+Game+Design,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Illwinter+Game+Design
656570,NA,73.66%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=CINEMAX%2C+s.r.o.,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Rainbow+Rhino
394430,2/name 2Awesome Studio,75.23%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=2Awesome+Studio,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=2Awesome+Studio
