"","price_x","rating","franchise","owners_x","genre_count","TYPICALITY","jacc","entropy"
"price_x",1,0.128679796032031,0.190745616828057,0.141771827625918,-0.258274683703067,-0.122319623451576,-0.0992274568773801,0.186700794374232
"rating",0.128679796032031,1,0.146307496250001,0.127480369332406,-0.0486357893621182,-0.0828520708391947,-0.190375594051178,0.253623354657842
"franchise",0.190745616828057,0.146307496250001,1,0.0708998581342329,-0.0624856687314035,-0.0652736038989132,-0.0687054681927244,0.161557406845765
"owners_x",0.141771827625918,0.127480369332406,0.0708998581342329,1,-0.0289027653537705,-0.109083528714166,-0.122152910373579,0.221925537940867
"genre_count",-0.258274683703067,-0.0486357893621182,-0.0624856687314035,-0.0289027653537705,1,-0.176619193437926,-0.235203883342878,0.245869895265544
"TYPICALITY",-0.122319623451576,-0.0828520708391947,-0.0652736038989132,-0.109083528714166,-0.176619193437926,1,0.566957959050474,-0.523829971764287
"jacc",-0.0992274568773801,-0.190375594051178,-0.0687054681927244,-0.122152910373579,-0.235203883342878,0.566957959050474,1,-0.776613509539819
"entropy",0.186700794374232,0.253623354657842,0.161557406845765,0.221925537940867,0.245869895265544,-0.523829971764287,-0.776613509539819,1
